step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
80,58.013231038333785,1.1535756952279558e+32,171.33275990645575,3.128399711150028e-37,19.355854807255213,8.99478478580573e+131,5.4766901843074365e+38,0.9383222503931092,1.7635270541082164,True,COHERENT CORE,True
81,61.03390288028624,1.2136408486036278e+32,180.25382901759446,3.1817808709675632e-37,19.686131649817405,8.994784785805735e+131,5.665186772047573e+38,0.9364762808156577,1.7855711422845693,True,COHERENT CORE,True
82,64.21185709064761,1.2768335146904006e+32,189.63940634145993,3.2360728952802294e-37,20.022044140808408,8.994784785805738e+131,5.860171030697317e+38,0.9346343760279446,1.8076152304609219,True,COHERENT CORE,True
83,67.55528315331647,1.343316538918752e+32,199.51367820336864,3.2912913265402963e-37,20.3636884435952,8.994784785805734e+131,6.0618662527540904e+38,0.9327965270793807,1.8296593186372747,True,COHERENT CORE,True
84,71.07279696773419,1.413261245864304e+32,209.90209027845282,3.3474519724072305e-37,20.711162362419483,8.994784785805732e+131,6.27050341599098e+38,0.9309627250390854,1.8517034068136273,True,COHERENT CORE,True
85,74.77346305177592,1.4868478807456486e+32,220.83141316433245,3.4045709102730395e-37,21.064565370396625,8.994784785805735e+131,6.486321447968379e+38,0.9291329609958442,1.8737474949899802,True,COHERENT CORE,True
86,78.66681790071586,1.5642660739103645e+32,232.3298113680678,3.462664491864826e-37,21.42399863799231,8.994784785805738e+131,6.7095674996495555e+38,0.9273072260580648,1.8957915831663328,True,COHERENT CORE,True
87,82.76289456246347,1.6457153295062174e+32,244.4269158851721,3.52174934792588e-37,21.789565061985144,8.994784785805735e+131,6.940497228433544e+38,0.9254855113537338,1.9178356713426854,True,COHERENT CORE,True
88,87.07224849239923,1.7314055395968107e+32,257.153900557716,3.581842392976644e-37,22.16136929492341,8.994784785805732e+131,7.179375090929435e+38,0.9236678080303741,1.9398797595190382,True,COHERENT CORE,True
89,91.60598475443709,1.821557525046555e+32,270.5435624082971,3.6429608301569175e-37,22.539517775084484,8.994784785805732e+131,7.426474645807369e+38,0.9218541072550013,1.9619238476953909,True,COHERENT CORE,True
90,96.37578663841094,1.91640360456881e+32,284.63040615689386,3.7051221561506924e-37,22.924118756945486,8.994784785805734e+131,7.682078867073055e+38,0.9200444002140813,1.9839679358717437,True,COHERENT CORE,True
91,101.39394576752917,2.0161881934035873e+32,299.4507331383972,3.76834416619501e-37,23.315282342173795,8.994784785805732e+131,7.946480468124543e+38,0.9182386781134872,2.006012024048096,True,COHERENT CORE,True
92,106.67339377348581,2.1211684331676332e+32,315.0427348499634,3.832644959174303e-37,23.713120511146464,8.994784785805732e+131,8.219982236962421e+38,0.9164369321784565,2.028056112224449,True,COHERENT CORE,True
93,112.22773562085082,2.2316148544999324e+32,331.44659136924855,3.89804294280164e-37,24.117747155007343,8.994784785805734e+131,8.502897382937194e+38,0.9146391536535485,2.0501002004008018,True,COHERENT CORE,True
94,118.07128466661904,2.3478120742103197e+32,348.70457489715517,3.964556838888408e-37,24.52927810827133,8.994784785805734e+131,8.795549895431081e+38,0.912845333802602,2.0721442885771544,True,COHERENT CORE,True
